vendor_name,item_id,title,price_cents,calories,calories_rounded,model_pred_calories,model_pred_rounded,calories_source,confidence_label,final_confidence
swad gomantak,3264c85c-116,Chicken Handi,390,212.29074587833185,212,212.29074587833185,212,manual_review,high,1.0
swad gomantak,3264c85c-117,Chicken Keema,350,199.4532884713104,199,199.4532884713104,199,manual_review,high,1.0
swad gomantak,3264c85c-118,Chicken Maratha Handi,390,212.29074587833185,212,212.29074587833185,212,manual_review,high,1.0
swad gomantak,3264c85c-119,Chicken Tawa Masala,350,198.61939472678768,199,198.61939472678768,199,manual_review,high,1.0
swad gomantak,3264c85c-120,Tisrya Sukka,450,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-121,Tisrya Masala,450,216.15593958455543,216,216.15593958455545,216,manual_review,high,1.0
swad gomantak,3264c85c-122,Tisrya Curry,450,189.56055133016685,190,189.56055133016685,190,manual_review,high,1.0
swad gomantak,3264c85c-123,Pomfret Tikhale,689,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-124,Pomfret Tawa Masala,689,216.15593958455543,216,216.15593958455545,216,manual_review,high,1.0
swad gomantak,3264c85c-125,Pomfret Konkan Curry,689,189.56055133016685,190,189.56055133016685,190,manual_review,high,1.0
swad gomantak,3264c85c-126,Pomfret Curry,689,189.56055133016685,190,189.56055133016685,190,manual_review,high,1.0
swad gomantak,3264c85c-127,Bangda Tawa Masala,450,216.15593958455543,216,216.15593958455545,216,manual_review,high,1.0
swad gomantak,3264c85c-128,Bangda Tikhale,450,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-129,Bangda Curry,450,189.56055133016685,190,189.56055133016685,190,manual_review,high,1.0
swad gomantak,3264c85c-130,Bangda Konkan Curry,450,189.56055133016685,190,189.56055133016685,190,manual_review,high,1.0
swad gomantak,3264c85c-131,Mutton Curry,550,189.56055133016685,190,189.56055133016685,190,manual_review,high,1.0
swad gomantak,3264c85c-132,Mutton Sukka Dry,550,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-133,Mutton Vade,610,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-134,Mutton Handi,550,229.50753370105,230,229.50753370105002,230,manual_review,high,1.0
swad gomantak,3264c85c-135,Mutton Maratha Handi,550,229.50753370105,230,229.50753370105002,230,manual_review,high,1.0
swad gomantak,3264c85c-136,Mutton Masala,550,216.15593958455543,216,216.15593958455545,216,manual_review,high,1.0
swad gomantak,3264c85c-137,Mutton Tawa Dry,550,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-138,Veg Malwani Handi,260,238.7045453701732,239,238.7045453701732,239,manual_review,high,1.0
swad gomantak,3264c85c-139,Mix Veg,160,241.4495071229792,241,241.44950712297918,241,manual_review,high,1.0
swad gomantak,3264c85c-140,Paneer Handi,270,262.58380835659244,263,262.58380835659244,263,manual_review,high,1.0
swad gomantak,3264c85c-141,Paneer Bhurji,180,257.46609378107973,257,257.46609378107973,257,manual_review,high,1.0
swad gomantak,3264c85c-142,Matar Paneer,170,262.58380835659244,263,262.58380835659244,263,manual_review,high,1.0
swad gomantak,3264c85c-143,Veg Handi,250,238.7045453701732,239,238.7045453701732,239,manual_review,high,1.0
swad gomantak,3264c85c-144,Veg Kadai,250,241.4495071229792,241,241.44950712297918,241,manual_review,high,1.0
swad gomantak,3264c85c-145,Dal Fry,120,189.03281738422348,189,189.03281738422348,189,manual_review,high,1.0
swad gomantak,3264c85c-146,Dal Tadka,130,192.39131480365924,192,192.39131480365924,192,manual_review,high,1.0
swad gomantak,3264c85c-147,Veg Saguti,170,241.4495071229792,241,241.44950712297918,241,manual_review,high,1.0
swad gomantak,3264c85c-148,Veg Tawa,170,241.4495071229792,241,241.44950712297918,241,manual_review,high,1.0
swad gomantak,3264c85c-149,Paneer Butter Masala,200,260.5765731664588,261,260.5765731664588,261,manual_review,high,1.0
swad gomantak,3264c85c-150,Lasooni Dal,130,189.03281738422348,189,189.03281738422348,189,manual_review,high,1.0
swad gomantak,3264c85c-151,Paneer Kadhai,270,262.58380835659244,263,262.58380835659244,263,manual_review,high,1.0
swad gomantak,3264c85c-152,Green Peas Masala,120,216.15593958455543,216,216.15593958455545,216,manual_review,high,1.0
swad gomantak,3264c85c-153,Shev Bhaji,120,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-154,Egg Curry,170,168.8506526529013,169,168.8506526529013,169,manual_review,high,1.0
swad gomantak,3264c85c-155,Egg Masala,170,192.1321394254004,192,192.1321394254004,192,manual_review,high,1.0
swad gomantak,3264c85c-156,Egg Bhurji,100,197.98728155366535,198,197.98728155366535,198,manual_review,high,1.0
swad gomantak,3264c85c-157,Egg Omelette,90,158.1694180921944,158,158.1694180921944,158,manual_review,high,1.0
swad gomantak,3264c85c-158,Boiled Egg,60,159.83892741332048,160,159.83892741332048,160,manual_review,high,1.0
swad gomantak,3264c85c-159,Prawns 65,590,229.21689745534633,229,229.21689745534633,229,manual_review,high,1.0
swad gomantak,3264c85c-160,Tossed Prawns [8 Pieces],590,232.1562205024661,232,232.1562205024661,232,manual_review,high,1.0
swad gomantak,3264c85c-161,Prawns Koliwada [8 Pieces],590,232.1562205024661,232,232.1562205024661,232,manual_review,high,1.0
swad gomantak,3264c85c-162,Prawn Golden Fried,490,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-163,Tossed Crab,590,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-164,Crab Lollipop [6 Pieces],400,232.1562205024661,232,232.1562205024661,232,manual_review,high,1.0
swad gomantak,3264c85c-165,Fish Fingers [6 Pieces],340,257.2487734920038,257,257.2487734920038,257,manual_review,high,1.0
swad gomantak,3264c85c-166,Chicken Lollipop [6 Pieces],300,214.7641847063396,215,214.7641847063396,215,manual_review,high,1.0
swad gomantak,3264c85c-167,Chicken Tava Fry,250,199.4532884713104,199,199.4532884713104,199,manual_review,high,1.0
swad gomantak,3264c85c-168,Crab Lasooni Tadka,590,214.57560914944168,215,214.57560914944168,215,manual_review,high,1.0
swad gomantak,3264c85c-169,Prawns Chilli,490,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-170,Prawns Lasooni Tadka [6 Pieces],590,226.98093275823192,227,226.98093275823194,227,manual_review,high,1.0
swad gomantak,3264c85c-171,Chicken Lasuni Tadka,300,198.3467786478218,198,198.3467786478218,198,manual_review,high,1.0
swad gomantak,3264c85c-172,Tossed Prawns,590,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-173,Prawns Tawa Fry,490,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-174,Surmai Tawa Fry,690,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-175,Pomfret Tawa Fry,610,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-176,Bangada Tawa Fry,250,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-177,Surmai Rava Fry,690,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-178,Pomfret Rava Fry,630,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
swad gomantak,3264c85c-179,Prawns Rava Fry,600,231.9229926582528,232,231.9229926582528,232,manual_review,high,1.0
